epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,41861,1.23104,0.71122,1.04446,0.83246,0.73533,0.82082,0.4142,1.74146,0.92977,1.33025,0.00527629,0.00527629,0.00527629
169,42066.3,1.22924,0.71254,1.04356,0.83087,0.7481,0.82242,0.41657,1.73794,0.91933,1.32923,0.005248,0.005248,0.005248
170,42280.2,1.22117,0.71144,1.0379,0.83544,0.73929,0.81956,0.41552,1.73235,0.91706,1.3303,0.00521971,0.00521971,0.00521971
171,42485.3,1.21947,0.69826,1.04043,0.84127,0.72971,0.81368,0.41417,1.72895,0.92404,1.32574,0.00519143,0.00519143,0.00519143
172,42713.6,1.22332,0.70273,1.03807,0.83109,0.74086,0.81732,0.41628,1.72251,0.91633,1.32176,0.00516314,0.00516314,0.00516314
173,42918.6,1.22178,0.70318,1.03929,0.83032,0.74189,0.81927,0.4176,1.7269,0.91799,1.32365,0.00513486,0.00513486,0.00513486
174,43132,1.22092,0.69771,1.03754,0.83533,0.74707,0.82123,0.41869,1.73426,0.92048,1.32282,0.00510657,0.00510657,0.00510657
175,43361.1,1.20541,0.68564,1.0323,0.84052,0.74197,0.82117,0.41634,1.73387,0.91755,1.32446,0.00507829,0.00507829,0.00507829
176,43609.3,1.21168,0.69393,1.03725,0.84811,0.73024,0.82287,0.41681,1.73032,0.92126,1.32671,0.00505,0.00505,0.00505
177,43815,1.21386,0.69628,1.03765,0.83619,0.73627,0.82211,0.41606,1.72738,0.91498,1.32569,0.00502171,0.00502171,0.00502171
178,44028,1.19975,0.68813,1.02726,0.85061,0.71912,0.8186,0.41428,1.733,0.9216,1.33177,0.00499343,0.00499343,0.00499343
179,44249.2,1.2106,0.69011,1.03094,0.82673,0.74362,0.81776,0.41644,1.73765,0.92141,1.338,0.00496514,0.00496514,0.00496514
180,44498.9,1.20652,0.69586,1.0318,0.8313,0.7412,0.81702,0.41542,1.73451,0.93079,1.33336,0.00493686,0.00493686,0.00493686
